Datum;Feiertag
01.01.2013;Neujahr
29.03.2013;Karfreitag
31.03.2013;Ostern
01.04.2013;Ostermontag
09.05.2013;Christi Himmelfahrt
19.05.2013;Pfingsten
20.05.2013;Pfingstmontag
01.05.2013;Tag der Arbeit
03.10.2013;Tag der deutschen Einheit
24.12.2013;Heiligabend
25.12.2013;1. Weihnachtsfeiertag
26.12.2013;2. Weihnachtsfeiertag
31.12.2013;Silvester
01.01.2014;Neujahr
18.04.2014;Karfreitag
20.04.2014;Ostern
21.04.2014;Ostermontag
29.05.2014;Christi Himmelfahrt
08.06.2014;Pfingsten
09.06.2014;Pfingstmontag
01.05.2014;Tag der Arbeit
03.10.2014;Tag der deutschen Einheit
24.12.2014;Heiligabend
25.12.2014;1. Weihnachtsfeiertag
26.12.2014;2. Weihnachtsfeiertag
31.12.2014;Silvester
01.01.2015;Neujahr
03.04.2015;Karfreitag
05.04.2015;Ostern
06.04.2015;Ostermontag
14.05.2015;Christi Himmelfahrt
24.05.2015;Pfingsten
25.05.2015;Pfingstmontag
01.05.2015;Tag der Arbeit
03.10.2015;Tag der deutschen Einheit
24.12.2015;Heiligabend
25.12.2015;1. Weihnachtsfeiertag
26.12.2015;2. Weihnachtsfeiertag
31.12.2015;Silvester
01.01.2016;Neujahr
25.03.2016;Karfreitag
27.03.2016;Ostern
28.03.2016;Ostermontag
05.05.2016;Christi Himmelfahrt
15.05.2016;Pfingsten
16.05.2016;Pfingstmontag
01.05.2016;Tag der Arbeit
03.10.2016;Tag der deutschen Einheit
24.12.2016;Heiligabend
25.12.2016;1. Weihnachtsfeiertag
26.12.2016;2. Weihnachtsfeiertag
31.12.2016;Silvester
01.01.2017;Neujahr
14.04.2017;Karfreitag
16.04.2017;Ostern
17.04.2017;Ostermontag
25.05.2017;Christi Himmelfahrt
04.06.2017;Pfingsten
05.06.2017;Pfingstmontag
01.05.2017;Tag der Arbeit
03.10.2017;Tag der deutschen Einheit
24.12.2017;Heiligabend
25.12.2017;1. Weihnachtsfeiertag
26.12.2017;2. Weihnachtsfeiertag
31.12.2017;Silvester
01.01.2018;Neujahr
30.03.2018;Karfreitag
01.04.2018;Ostern
02.04.2018;Ostermontag
10.05.2018;Christi Himmelfahrt
20.05.2018;Pfingsten
21.05.2018;Pfingstmontag
01.05.2018;Tag der Arbeit
03.10.2018;Tag der deutschen Einheit
24.12.2018;Heiligabend
25.12.2018;1. Weihnachtsfeiertag
26.12.2018;2. Weihnachtsfeiertag
31.12.2018;Silvester
01.01.2019;Neujahr
19.04.2019;Karfreitag
21.04.2019;Ostern
22.04.2019;Ostermontag
30.05.2019;Christi Himmelfahrt
09.06.2019;Pfingsten
10.06.2019;Pfingstmontag
01.05.2019;Tag der Arbeit
03.10.2019;Tag der deutschen Einheit
24.12.2019;Heiligabend
25.12.2019;1. Weihnachtsfeiertag
26.12.2019;2. Weihnachtsfeiertag
31.12.2019;Silvester
