"","id","Datum","Warengruppe","Umsatz","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche","Datum.Feiertag","Ferien"
"1",1307011,2013-07-01,1,148.828353112183,6,17.8375,15,20,NA,NA,"Sommerferien"
"2",1307021,2013-07-02,1,159.79375714468,3,17.3125,10,NA,NA,NA,"Sommerferien"
"3",1307031,2013-07-03,1,111.885593514353,7,21.075,6,61,NA,NA,"Sommerferien"
"4",1307041,2013-07-04,1,168.864940979931,7,18.85,7,20,NA,NA,"Sommerferien"
"5",1307051,2013-07-05,1,171.280754117955,5,19.975,12,NA,NA,NA,"Sommerferien"
"6",1307061,2013-07-06,1,174.552359998476,0,18.9625,8,NA,NA,NA,"Sommerferien"
"7",1307071,2013-07-07,1,92.6377553788373,0,21.375,9,NA,NA,NA,"Sommerferien"
"8",1307081,2013-07-08,1,135.500244042392,0,22.725,10,5,NA,NA,"Sommerferien"
"9",1307091,2013-07-09,1,136.048382778344,0,23.275,8,NA,NA,NA,"Sommerferien"
"10",1307101,2013-07-10,1,135.132314289581,2,19.6875,13,5,NA,NA,"Sommerferien"
"11",1307111,2013-07-11,1,138.549392636714,0,21.375,12,5,NA,NA,"Sommerferien"
"12",1307121,2013-07-12,1,101.447511461298,0,20.2875,7,NA,NA,NA,"Sommerferien"
"13",1307131,2013-07-13,1,141.233309883732,1,20.125,12,NA,NA,NA,"Sommerferien"
"14",1307141,2013-07-14,1,112.524365708762,5,17.6875,15,5,NA,NA,"Sommerferien"
"15",1307151,2013-07-15,1,161.264677322182,6,18.7375,12,NA,NA,NA,"Sommerferien"
"16",1307161,2013-07-16,1,116.821358174215,1,21.1875,10,NA,NA,NA,"Sommerferien"
"17",1307171,2013-07-17,1,150.572919592838,5,22.5125,8,NA,NA,NA,"Sommerferien"
"18",1307181,2013-07-18,1,101.90072129658,1,23.25,11,5,NA,NA,"Sommerferien"
"19",1307191,2013-07-19,1,161.63511518654,3,22.475,16,5,NA,NA,"Sommerferien"
"20",1307201,2013-07-20,1,134.328076682024,0,23.1875,8,NA,NA,NA,"Sommerferien"
"21",1307211,2013-07-21,1,66.2887578161955,0,26.375,8,NA,NA,NA,"Sommerferien"
"22",1307221,2013-07-22,1,131.223948997842,0,26.1,9,NA,NA,NA,"Sommerferien"
"23",1307231,2013-07-23,1,110.315246796665,0,24.95,12,NA,NA,NA,"Sommerferien"
"24",1307241,2013-07-24,1,141.891908195545,3,24.075,11,NA,NA,NA,"Sommerferien"
"25",1307251,2013-07-25,1,167.701216640907,2,23.0875,9,NA,NA,NA,"Sommerferien"
"26",1307261,2013-07-26,1,147.272084366206,3,27.2625,6,NA,NA,NA,"Sommerferien"
"27",1307271,2013-07-27,1,161.403357795112,1,26.1625,10,NA,NA,NA,"Sommerferien"
"28",1307281,2013-07-28,1,86.0791432446654,4,24.8875,13,61,NA,NA,"Sommerferien"
"29",1307291,2013-07-29,1,183.564164400591,1,22.7875,10,NA,NA,NA,"Sommerferien"
"30",1307301,2013-07-30,1,132.111640117897,5,21.075,13,21,NA,NA,"Sommerferien"
"31",1307311,2013-07-31,1,144.745431773143,5,20.275,16,65,NA,NA,"Sommerferien"
"32",1308011,2013-08-01,1,157.854023011106,6,23.4,7,21,NA,NA,"Sommerferien"
"33",1308021,2013-08-02,1,117.359342094889,0,31.4375,7,NA,NA,NA,"Sommerferien"
"34",1308031,2013-08-03,1,186.027178770079,4,23.3625,11,63,NA,NA,"Sommerferien"
"35",1308041,2013-08-04,1,104.708216687715,3,23.05,8,NA,NA,NA,NA
"36",1308051,2013-08-05,1,146.775309890073,0,25.8,10,NA,NA,NA,NA
"37",1308061,2013-08-06,1,131.956277381283,5,22.225,13,NA,NA,NA,NA
"38",1308071,2013-08-07,1,160.593417296116,4,19.2125,8,NA,NA,NA,NA
"39",1308081,2013-08-08,1,153.099424561652,7,16.975,12,20,NA,NA,NA
"40",1308091,2013-08-09,1,125.620344387906,4,20.3375,10,21,NA,NA,NA
"41",1308101,2013-08-10,1,185.177162656408,7,19.3625,12,61,NA,NA,NA
"42",1308111,2013-08-11,1,73.2088330039992,7,16.3875,9,61,NA,NA,NA
"43",1308121,2013-08-12,1,154.504729536697,7,16.45,11,63,NA,NA,NA
"44",1308131,2013-08-13,1,134.064451548102,3,16.4,16,95,NA,NA,NA
"45",1308141,2013-08-14,1,156.972510536869,4,18.2625,18,61,NA,NA,NA
"46",1308151,2013-08-15,1,164.763795399756,3,19.8,8,NA,NA,NA,NA
"47",1308161,2013-08-16,1,147.79799759804,4,23.575,11,0,NA,NA,NA
"48",1308171,2013-08-17,1,221.630418006017,6,20.55,7,0,NA,NA,NA
"49",1308181,2013-08-18,1,92.489778506026,7,18.5875,10,63,NA,NA,NA
"50",1308191,2013-08-19,1,145.87913275728,5,18.4875,8,NA,NA,NA,NA
"51",1308201,2013-08-20,1,111.842396126739,7,17.775,8,61,NA,NA,NA
"52",1308211,2013-08-21,1,125.336522713024,5,20.125,8,NA,NA,NA,NA
"53",1308221,2013-08-22,1,132.916428220302,4,21.6625,8,NA,NA,NA,NA
