"","Datum","KielerWoche"
"1","2012-06-16",1
"2","2012-06-17",1
"3","2012-06-18",1
"4","2012-06-19",1
"5","2012-06-20",1
"6","2012-06-21",1
"7","2012-06-22",1
"8","2012-06-23",1
"9","2012-06-24",1
"10","2013-06-22",1
"11","2013-06-23",1
"12","2013-06-24",1
"13","2013-06-25",1
"14","2013-06-26",1
"15","2013-06-27",1
"16","2013-06-28",1
"17","2013-06-29",1
"18","2013-06-30",1
"19","2014-06-21",1
"20","2014-06-22",1
"21","2014-06-23",1
"22","2014-06-24",1
"23","2014-06-25",1
"24","2014-06-26",1
"25","2014-06-27",1
"26","2014-06-28",1
"27","2014-06-29",1
"28","2015-06-20",1
"29","2015-06-21",1
"30","2015-06-22",1
"31","2015-06-23",1
"32","2015-06-24",1
"33","2015-06-25",1
"34","2015-06-26",1
"35","2015-06-27",1
"36","2015-06-28",1
"37","2016-06-18",1
"38","2016-06-19",1
"39","2016-06-20",1
"40","2016-06-21",1
"41","2016-06-22",1
"42","2016-06-23",1
"43","2016-06-24",1
"44","2016-06-25",1
"45","2016-06-26",1
"46","2017-06-17",1
"47","2017-06-18",1
"48","2017-06-19",1
"49","2017-06-20",1
"50","2017-06-21",1
"51","2017-06-22",1
"52","2017-06-23",1
"53","2017-06-24",1
"54","2017-06-25",1
"55","2018-06-16",1
"56","2018-06-17",1
"57","2018-06-18",1
"58","2018-06-19",1
"59","2018-06-20",1
"60","2018-06-21",1
"61","2018-06-22",1
"62","2018-06-23",1
"63","2018-06-24",1
"64","2019-06-22",1
"65","2019-06-23",1
"66","2019-06-24",1
"67","2019-06-25",1
"68","2019-06-26",1
"69","2019-06-27",1
"70","2019-06-28",1
"71","2019-06-29",1
"72","2019-06-30",1
