"","X","id","Datum","Warengruppe","wochentag","jahreszeit","monat","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche","Feiertag","Ferien","Temperatur_labels"
"1",1,1808011,"2018-08-01",1,"Mittwoch","Sommer",8,0,23.7625,"Brise","Trocken",FALSE,FALSE,TRUE,"sommerlich"
"2",2,1808021,"2018-08-02",1,"Donnerstag","Sommer",8,0,26.1875,"Brise","Trocken",FALSE,FALSE,TRUE,"sommerlich"
"3",3,1808031,"2018-08-03",1,"Freitag","Sommer",8,1,27.6625,"Brise","Trocken",FALSE,FALSE,TRUE,"sommerlich"
"4",4,1808041,"2018-08-04",1,"Samstag","Sommer",8,4,25.1375,"Wind","Trocken",FALSE,FALSE,TRUE,"sommerlich"
"5",5,1808051,"2018-08-05",1,"Sonntag","Sommer",8,7,21.3,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"sommerlich"
"6",6,1808061,"2018-08-06",1,"Montag","Sommer",8,0,23.1,"Brise","Trocken",FALSE,FALSE,TRUE,"sommerlich"
"7",7,1808071,"2018-08-07",1,"Dienstag","Sommer",8,0,32.671428,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"heiß"
"8",8,1808081,"2018-08-08",1,"Mittwoch","Sommer",8,4,28.15,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"sommerlich"
"9",9,1808091,"2018-08-09",1,"Donnerstag","Sommer",8,5,24.575,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"sommerlich"
"10",10,1808101,"2018-08-10",1,"Freitag","Sommer",8,5,17.325,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"moderat"
"11",11,1808111,"2018-08-11",1,"Samstag","Sommer",8,6,15.5,"Wind","RegenGewitter",FALSE,FALSE,TRUE,"moderat"
"12",12,1808121,"2018-08-12",1,"Sonntag","Sommer",8,7,18.375,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"moderat"
"13",13,1808131,"2018-08-13",1,"Montag","Sommer",8,7,21.9125,"Brise","RegenGewitter",FALSE,FALSE,TRUE,"sommerlich"
